country,gdp
Anxiety,30	
                         ,16
                           ,0
Brain,16	
                        ,9
,0.0
Business ,9	
                      ,49
                                 ,0.00
Disappointment,21	
                     ,9
                                                      ,0.000
Disease ,97	
                   ,73
                                                          ,0.0000               
Domestic,84	
                 ,29
                                                            ,0.00000                
Epilepsy,16
                ,22
                                                              ,0.00000                  
Excessive Study,1	
                    ,4
                                                                           ,0.00000 
Excitement,2	
              ,6
                                                                               ,0.000000
Grief,28	 
            ,5
                                                                                           ,0.000000
Gynecological,91
           ,0	
                                                                                               ,0.000000
Intemperance,101
        ,0
                                                                                                   ,0.000000
Masturbation,2	
      ,25
                                                                                                         ,0.000000
Old Age,10	
    ,3
                                                                                                               ,0.000000
Other,6	
   ,15
                                                                                                                        ,0.000000
Paralysis,4
  ,13
                                                                                                                                 ,0.000000
Religion,20	
 ,7
                                                                                                                                         ,0.000000
Sexual,4
                            ,12
                                                                                                                                                    ,0.000000
